id_img,label
18341,sadness
13176,sadness
23945,sadness
15968,sadness
18382,sadness
8256,sadness
21635,sadness
2418,sadness
4515,sadness
27618,sadness
9674,sadness
11539,sadness
25664,sadness
14930,sadness
15667,sadness
7682,sadness
16581,sadness
23973,sadness
180,sadness
13253,sadness
25382,sadness
16148,sadness
21656,sadness
11803,sadness
15072,sadness
11961,sadness
17382,sadness
14261,sadness
3539,sadness
2827,sadness
14139,sadness
12059,sadness
18734,sadness
25703,sadness
27738,sadness
24609,sadness
20560,sadness
6807,sadness
7115,sadness
12786,sadness
15312,sadness
24494,sadness
17673,sadness
15066,sadness
12951,sadness
27063,sadness
26677,sadness
26443,sadness
16724,sadness
24828,sadness
24755,sadness
27128,sadness
18767,sadness
18427,sadness
11553,sadness
26993,sadness
17077,sadness
26994,sadness
11041,sadness
6750,sadness
9714,sadness
11152,sadness
8892,sadness
20342,sadness
16712,sadness
11227,sadness
9192,sadness
12772,sadness
9746,sadness
23201,sadness
26142,sadness
12920,sadness
25843,sadness
5128,sadness
22484,sadness
27076,sadness
527,sadness
27717,sadness
15468,sadness
22466,sadness
2514,sadness
24743,sadness
1834,sadness
14106,sadness
20243,sadness
25317,sadness
17595,sadness
11332,sadness
13715,sadness
8714,sadness
5936,sadness
23154,sadness
2449,sadness
22071,sadness
9984,sadness
11833,sadness
13819,sadness
27484,sadness
24355,sadness
16835,sadness
12591,sadness
10120,sadness
27956,sadness
8251,sadness
13368,sadness
27140,sadness
20937,sadness
23489,sadness
22002,sadness
11681,sadness
11516,sadness
14133,sadness
15868,sadness
10547,sadness
23409,sadness
6529,sadness
7808,sadness
26600,sadness
25096,sadness
11230,sadness
28140,sadness
13985,sadness
25282,sadness
27324,sadness
16192,sadness
7000,sadness
20232,sadness
26290,sadness
3951,sadness
21486,sadness
7573,sadness
19620,sadness
9318,sadness
8641,sadness
8544,sadness
20576,sadness
12426,sadness
10157,sadness
21375,sadness
5070,sadness
15274,sadness
6696,sadness
9932,sadness
15183,sadness
8028,sadness
456,sadness
20964,sadness
17905,sadness
12653,sadness
14332,sadness
8923,sadness
15288,sadness
5004,sadness
25,sadness
18231,sadness
12773,sadness
13968,sadness
12739,sadness
3752,sadness
14102,sadness
17747,sadness
20425,sadness
25240,sadness
17488,sadness
17499,sadness
14658,sadness
7870,sadness
16327,sadness
139,sadness
18186,sadness
22604,sadness
10469,sadness
24198,sadness
20175,sadness
25275,sadness
18805,sadness
20054,sadness
5183,sadness
8911,sadness
9180,sadness
11049,sadness
28574,sadness
580,sadness
8886,sadness
19168,sadness
3649,sadness
19851,sadness
25004,sadness
13261,sadness
22828,sadness
25935,sadness
27613,sadness
10176,sadness
24867,sadness
18165,sadness
14280,sadness
15508,sadness
24019,sadness
25364,sadness
9740,sadness
12239,sadness
2342,sadness
21795,sadness
4940,sadness
11122,sadness
9517,sadness
14074,sadness
14800,sadness
22335,sadness
23214,sadness
2576,sadness
20321,sadness
2197,sadness
11989,sadness
10425,sadness
28465,sadness
14472,sadness
19367,sadness
23220,sadness
7430,sadness
14070,sadness
14245,sadness
9744,sadness
25407,sadness
19241,sadness
19892,sadness
14655,sadness
21406,sadness
15479,sadness
7579,sadness
13026,sadness
26903,sadness
3922,sadness
11819,sadness
23923,sadness
21691,sadness
10140,sadness
20784,sadness
9576,sadness
15589,sadness
27283,sadness
12725,sadness
17977,sadness
23383,sadness
24498,sadness
21344,sadness
16699,sadness
127,sadness
5744,sadness
21527,sadness
17079,sadness
11795,sadness
10283,sadness
15067,sadness
27143,sadness
28337,sadness
23088,sadness
23279,sadness
20909,sadness
17494,sadness
23779,sadness
5336,sadness
16174,sadness
17300,sadness
4949,sadness
19493,sadness
24773,sadness
27102,sadness
9067,sadness
2048,sadness
9197,sadness
3385,sadness
12246,sadness
14233,sadness
8372,sadness
24425,sadness
23712,sadness
21006,sadness
9332,sadness
16820,sadness
14032,sadness
26797,sadness
12686,sadness
26445,sadness
8418,sadness
24222,sadness
623,sadness
23374,sadness
15053,sadness
24545,sadness
18782,sadness
15877,sadness
3271,sadness
23573,sadness
14275,sadness
25951,sadness
13365,sadness
21710,sadness
26406,sadness
6330,sadness
18320,sadness
20830,sadness
17202,sadness
19946,sadness
16088,sadness
19459,sadness
22051,sadness
16443,sadness
19285,sadness
6866,sadness
20165,sadness
19530,sadness
25205,sadness
26837,sadness
24465,sadness
9534,sadness
23024,sadness
12804,sadness
14328,sadness
28309,sadness
19385,sadness
10829,sadness
20138,sadness
22262,sadness
27185,sadness
3118,sadness
19616,sadness
2658,sadness
14588,sadness
6824,sadness
22639,sadness
14442,sadness
26270,sadness
5892,sadness
27213,sadness
26249,sadness
21426,sadness
21529,sadness
19409,sadness
21678,sadness
17518,sadness
